Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EmployeeCount,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Location,DailyRate,HourlyRate,MonthlyRate,EnvironmentSatisfaction,Tenure_Years
58,Yes,Travel_Frequently,Sales,16,Bachelor's,4,Female,2,1,Associate,4,Married,144977.0,4,No,19.0,3,1,20,0,4,2,1,2,Pune,1225,75,19654,1,2
45,Yes,Travel_Frequently,Support,4,B.Tech,1,Female,4,3,Lead,3,Separated,44931.0,1,No,14.1,1,1,24,4,1,9,10,5,Bangalore,1815,191,35714,1,9
34,Yes,Non-Travel,Engineering,10,M.Sc,3,Male,2,1,Senior,2,Married,143815.0,10,Yes,20.6,4,3,25,4,4,11,0,6,Ahmedabad,1710,104,27492,2,11
54,Yes,Travel_Rarely,Sales,28,Diploma,1,Male,4,5,Analyst,4,Divorced,221226.0,7,No,23.5,2,4,6,4,3,5,5,4,Delhi,1281,118,42253,2,5
37,Yes,Travel_Rarely,Admin,18,Bachelor's,4,Female,1,3,Lead,2,Married,132697.0,6,Yes,23.4,3,4,17,3,2,10,8,0,Chandigarh,1852,59,27698,3,10
57,No,Travel_Rarely,Engineering,15,M.Sc,5,Male,4,3,Specialist,2,Separated,70465.0,0,Yes,18.1,4,2,15,3,3,6,7,7,Ahmedabad,916,174,36594,4,6
33,No,Non-Travel,R&D,9,Bachelor's,5,Male,4,3,Manager,1,Separated,199130.0,8,No,18.1,3,2,15,2,4,7,5,8,Chandigarh,1882,187,19593,4,7
60,Yes,Travel_Rarely,Engineering,8,Diploma,5,Female,2,3,Specialist,2,Married,101602.0,4,No,18.6,4,3,1,3,1,0,9,4,Jaipur,1628,133,47224,1,0
30,Yes,Non-Travel,Support,8,MBA,3,Male,1,3,Executive,1,Married,48288.0,1,Yes,11.8,3,1,3,3,4,0,8,10,Pune,1255,138,10925,4,0
43,Yes,Travel_Rarely,Sales,14,Bachelor's,3,Male,2,5,Lead,3,Married,91156.0,5,Yes,13.0,3,3,19,4,4,8,5,3,Kolkata,1323,171,47660,0,8
33,No,Travel_Rarely,R&D,26,PhD,2,Male,4,1,Manager,4,Divorced,187985.0,7,No,20.1,4,1,17,1,1,14,2,5,Ahmedabad,1063,184,33302,4,14
30,No,Travel_Rarely,Admin,24,Diploma,2,Female,3,2,Lead,1,Divorced,63864.0,5,No,14.3,2,4,11,0,1,8,4,6,Pune,535,78,19316,4,8
44,Yes,Travel_Rarely,Operations,1,M.Sc,3,Male,4,3,Junior,1,Single,114687.0,1,No,24.9,4,2,23,1,4,8,3,5,Chandigarh,1298,101,45583,1,8
34,No,Travel_Frequently,IT,5,B.Tech,1,Female,2,5,Lead,1,Divorced,154218.0,5,No,20.0,2,2,18,4,2,8,9,3,Pune,785,133,27083,1,8
35,Yes,Travel_Frequently,Engineering,25,MBA,5,Female,3,1,Executive,1,Married,96896.0,5,No,22.4,1,1,22,3,1,12,2,7,Pune,1990,97,28189,3,12
50,No,Travel_Rarely,Engineering,10,PhD,5,Male,4,4,Junior,4,Divorced,57603.0,8,Yes,19.4,2,3,25,4,2,13,8,0,Kolkata,901,132,43564,3,13
29,Yes,Non-Travel,Sales,20,Bachelor's,1,Male,4,3,Lead,4,Separated,214828.0,1,No,19.2,3,1,24,5,3,5,7,1,Jaipur,1816,186,18642,1,5
46,No,Travel_Frequently,HR,21,Bachelor's,3,Male,2,2,Executive,3,Separated,120629.0,9,Yes,17.7,1,3,13,1,2,7,8,5,Delhi,843,89,21284,3,7
37,No,Travel_Frequently,R&D,28,PhD,4,Female,1,1,Associate,1,Single,242346.0,7,Yes,10.4,3,3,8,3,3,7,7,4,Delhi,1935,77,45579,2,7
60,No,Travel_Frequently,R&D,26,B.Tech,2,Female,1,3,Executive,1,Single,242000.0,6,Yes,11.5,4,1,3,0,1,3,5,5,Jaipur,1334,52,38933,3,3
22,No,Travel_Frequently,IT,500,High School,3,Male,1,2,Senior,3,Divorced,40727.0,10,Yes,12.3,3,4,11,3,3,7,6,4,Bangalore,1116,75,31101,1,7
31,No,Travel_Rarely,Sales,7,Diploma,4,Male,4,3,Senior,3,Married,97457.0,6,No,17.1,1,3,4,4,1,2,0,8,Chandigarh,1877,75,35526,3,2
40,Yes,Non-Travel,Finance,0,PhD,1,Male,4,4,Analyst,5,Divorced,126962.0,9,Yes,16.2,1,3,20,5,3,15,7,3,Chandigarh,581,116,33513,3,15
28,Yes,Travel_Rarely,Engineering,3,Master's,4,Female,2,5,Specialist,4,Separated,232329.0,1,No,19.3,4,1,13,6,4,4,6,2,Hyderabad,669,76,36161,4,4
48,No,Non-Travel,Engineering,16,B.Tech,5,Male,4,5,Specialist,1,Separated,151791.0,0,No,12.0,1,4,2,1,3,0,0,6,Ahmedabad,1896,122,46521,4,0
49,No,Travel_Frequently,HR,25,Bachelor's,5,Male,3,3,Senior,3,Divorced,241017.0,3,No,24.7,3,3,14,4,1,6,2,5,Chennai,1740,187,23116,1,6
58,No,Non-Travel,Operations,26,M.Sc,4,Male,1,5,Associate,1,Married,109730.0,0,No,18.1,4,3,8,3,1,3,10,8,Pune,835,175,41274,1,3
55,Yes,Travel_Frequently,Marketing,25,Master's,3,Male,2,1,Manager,1,Divorced,116868.0,5,Yes,16.5,3,4,8,6,1,2,3,9,Hyderabad,1988,83,17904,3,2
23,Yes,Travel_Rarely,Support,28,Bachelor's,2,Male,1,2,Manager,3,Divorced,186787.0,7,Yes,21.7,1,4,15,4,4,4,2,3,Mumbai,1520,136,20035,4,4
35,Yes,Non-Travel,Sales,10,MBA,3,Female,3,2,Associate,1,Separated,236581.0,2,No,23.8,4,4,5,1,1,2,8,5,Bangalore,1063,140,43647,2,2
58,Yes,Travel_Frequently,Finance,2,Master's,2,Male,3,4,Specialist,4,Single,88297.0,6,No,21.6,1,3,5,3,1,5,0,1,Mumbai,1674,90,13924,4,5
47,Yes,Travel_Rarely,IT,10,B.Tech,2,Male,2,4,Executive,1,Separated,120165.0,5,Yes,22.8,2,4,18,1,2,9,8,9,Chandigarh,929,189,44108,2,9
30,No,Travel_Rarely,Sales,12,Bachelor's,4,Male,2,3,Analyst,1,Married,65698.0,10,No,14.3,2,3,4,5,1,2,2,9,Bangalore,1031,187,17804,2,2
57,Yes,Travel_Rarely,Finance,7,High School,3,Female,1,3,Senior,3,Divorced,25782.0,6,Yes,14.2,2,2,6,0,1,1,10,1,Jaipur,1999,123,29111,2,1
59,Yes,Non-Travel,Marketing,2,M.Sc,1,Male,3,1,Manager,4,Separated,135561.0,9,Yes,18.5,3,4,4,3,2,1,8,10,Jaipur,1421,164,19763,3,1
60,Yes,Non-Travel,Admin,12,Diploma,3,Female,1,3,Analyst,2,Single,93451.0,9,No,10.1,4,4,18,4,3,1,10,9,Kolkata,1924,128,33747,4,1
47,Yes,Travel_Rarely,Admin,6,PhD,5,Female,1,5,Junior,2,Married,245568.0,1,Yes,14.9,1,3,20,6,1,6,10,8,Chennai,687,99,28151,2,6
53,Yes,Travel_Rarely,IT,22,PhD,5,Female,1,2,Specialist,2,Married,118847.0,2,No,18.3,1,1,20,1,2,5,7,10,Hyderabad,1986,84,16396,5,5
49,Yes,Travel_Frequently,Support,7,B.Tech,5,Female,1,4,Junior,1,Separated,71497.0,5,No,14.7,3,1,16,0,4,11,0,1,Chandigarh,738,172,47488,4,11
38,Yes,Travel_Frequently,Sales,22,Bachelor's,4,Male,4,4,Senior,3,Divorced,115330.0,10,No,15.8,3,1,6,4,3,3,1,0,Jaipur,588,148,17625,1,3
50,No,Travel_Rarely,Sales,3,B.Tech,1,Male,2,4,Lead,1,Separated,120171.0,5,No,17.0,4,4,6,6,1,1,2,10,Ahmedabad,1499,127,11521,3,1
31,Yes,Travel_Frequently,Operations,2,Bachelor's,2,Female,1,2,Senior,5,Divorced,223572.0,4,No,11.0,3,1,15,0,4,0,1,4,Kolkata,1224,85,17599,2,0
58,Yes,Non-Travel,Operations,2,High School,2,Male,1,1,Manager,3,Single,167403.0,10,No,24.3,1,4,15,3,2,10,5,10,Ahmedabad,1098,147,34599,3,10
33,No,Non-Travel,Engineering,16,Master's,1,Male,1,2,Manager,3,Divorced,112687.0,9,Yes,16.1,3,1,9,1,2,1,0,4,Jaipur,1614,181,21227,2,1
52,Yes,Non-Travel,HR,27,Bachelor's,2,Female,4,2,Junior,4,Married,82100.0,0,No,19.0,2,3,21,6,1,14,3,7,Chennai,1879,137,43311,0,14
41,Yes,Travel_Frequently,Operations,15,M.Sc,1,Female,2,5,Manager,4,Separated,143124.0,7,No,13.6,4,1,2,3,2,2,8,9,Jaipur,1179,192,19985,4,2
34,No,Non-Travel,Support,9,PhD,1,Male,4,4,Senior,2,Separated,150296.0,1,Yes,24.5,2,4,9,0,2,2,1,3,Bangalore,741,167,36877,5,2
33,Yes,Travel_Rarely,Engineering,15,B.Tech,4,Female,2,2,Junior,3,Married,242354.0,6,Yes,10.7,3,2,3,2,4,2,0,8,Bangalore,1116,90,43922,2,2
35,No,Travel_Frequently,Marketing,5,M.Sc,2,Female,4,1,Junior,2,Divorced,115319.0,9,No,11.9,4,3,20,1,3,6,2,4,Jaipur,1474,199,44551,1,6
46,Yes,Travel_Rarely,Support,25,Bachelor's,4,Male,1,4,Senior,2,Married,241554.0,0,No,10.4,3,3,6,5,3,0,4,0,Mumbai,800,120,26714,4,0
56,Yes,Non-Travel,Finance,7,M.Sc,5,Female,2,5,Manager,5,Separated,148957.0,5,Yes,18.9,3,2,15,2,2,13,6,7,Hyderabad,1548,177,26147,1,13
49,No,Travel_Frequently,HR,29,Diploma,1,Male,4,2,Associate,4,Divorced,72740.0,7,No,14.3,3,1,13,5,1,11,7,2,Bangalore,1688,167,27139,3,11
40,Yes,Travel_Frequently,Marketing,18,MBA,4,Female,4,4,Associate,4,Married,35621.0,7,Yes,12.7,1,4,17,4,4,15,5,9,Bangalore,735,72,40805,1,15
57,No,Travel_Frequently,Marketing,28,Diploma,2,Female,2,1,Lead,4,Single,87151.0,3,Yes,13.3,1,4,15,4,2,15,1,4,Delhi,1810,103,22465,3,15
56,Yes,Travel_Rarely,R&D,9,MBA,3,Male,1,4,Analyst,3,Divorced,147175.0,4,Yes,13.9,3,3,18,0,3,0,7,9,Delhi,696,145,10493,2,0
55,Yes,Travel_Frequently,R&D,7,Master's,4,Female,3,4,Lead,3,Married,52436.0,3,Yes,16.4,4,4,4,0,2,3,9,1,Jaipur,1846,188,36443,4,3
36,Yes,Non-Travel,HR,12,MBA,1,Female,3,3,Analyst,3,Single,222637.0,0,No,15.4,2,3,24,5,4,2,7,7,Jaipur,527,141,19842,4,2
51,Yes,Non-Travel,Marketing,26,PhD,3,Female,3,3,Senior,3,Single,217202.0,9,No,17.4,3,3,6,0,1,3,7,5,Ahmedabad,1225,182,44788,2,3
54,Yes,Travel_Rarely,Support,27,Diploma,5,Female,2,1,Manager,3,Divorced,223128.0,2,Yes,23.7,1,1,24,4,1,0,2,10,Pune,500,130,25253,2,0
50,Yes,Non-Travel,Engineering,28,PhD,4,Male,4,5,Senior,3,Single,157860.0,7,No,20.3,3,1,18,2,1,5,8,2,Bangalore,1130,154,16408,1,5
56,No,Non-Travel,HR,20,PhD,1,Female,3,4,Junior,4,Separated,138821.0,8,Yes,13.9,2,1,21,3,4,9,1,7,Bangalore,1256,94,22679,4,9
28,No,Travel_Frequently,Marketing,25,Diploma,5,Male,1,3,Executive,1,Separated,108602.0,3,No,21.2,4,2,5,5,2,0,4,6,Pune,1754,199,14422,4,0
47,No,Travel_Rarely,IT,25,High School,1,Female,1,5,Associate,2,Single,198314.0,10,Yes,20.7,1,4,24,6,2,5,4,4,Delhi,1991,148,41905,3,5
35,Yes,Travel_Rarely,Support,23,Diploma,3,Female,3,2,Manager,1,Divorced,199786.0,6,Yes,19.3,4,1,25,5,3,2,5,4,Bangalore,1920,124,38078,2,2
58,Yes,Non-Travel,Operations,10,Bachelor's,4,Male,3,5,Manager,4,Divorced,64036.0,10,Yes,12.3,4,3,10,2,4,1,1,1,Chennai,514,97,20740,1,1
60,Yes,Non-Travel,Engineering,8,PhD,2,Male,1,2,Executive,3,Separated,41608.0,2,No,18.4,3,3,23,0,2,15,10,6,Pune,1026,103,49067,3,15
41,No,Non-Travel,Operations,30,M.Sc,2,Male,4,1,Lead,1,Separated,55649.0,4,Yes,14.1,2,3,19,4,1,5,0,8,Ahmedabad,538,175,33227,3,5
40,No,Non-Travel,R&D,8,High School,5,Female,2,2,Analyst,2,Single,42208.0,6,No,23.4,1,3,3,2,1,3,4,6,Chennai,1865,162,21875,1,3
50,Yes,Non-Travel,Finance,29,Diploma,3,Female,1,4,Executive,1,Divorced,234904.0,1,No,18.5,2,4,8,1,2,3,6,9,Bangalore,1866,141,39159,1,3
25,Yes,Travel_Frequently,IT,6,Master's,4,Female,2,2,Lead,4,Divorced,89398.0,9,No,13.5,1,2,19,5,1,0,7,4,Delhi,606,55,21144,1,0
30,Yes,Non-Travel,Finance,30,M.Sc,1,Female,1,3,Junior,1,Separated,208468.0,4,No,10.4,1,1,5,5,4,5,0,6,Kolkata,1652,108,30828,3,5
50,No,Non-Travel,Support,19,B.Tech,1,Male,1,5,Specialist,3,Single,238750.0,4,Yes,10.7,2,3,12,0,4,12,0,9,Mumbai,1716,185,24666,4,12
30,No,Travel_Frequently,Admin,24,PhD,4,Male,4,4,Analyst,2,Single,144689.0,0,No,17.9,2,3,23,1,1,1,1,0,Jaipur,1614,133,37749,2,1
58,Yes,Non-Travel,Engineering,27,Bachelor's,1,Female,4,5,Analyst,3,Separated,40313.0,7,No,13.6,4,3,0,2,4,0,2,7,Ahmedabad,1237,107,19463,3,0
57,Yes,Travel_Frequently,Finance,16,Bachelor's,4,Female,3,1,Executive,4,Married,160251.0,6,Yes,12.7,4,1,15,5,1,11,1,4,Chandigarh,1412,141,39926,2,11
47,Yes,Travel_Rarely,Finance,4,Diploma,4,Female,2,2,Manager,3,Married,144788.0,0,No,17.6,5,3,23,1,3,12,10,7,Chandigarh,1794,60,38065,3,12
41,No,Travel_Rarely,IT,13,M.Sc,5,Male,1,4,Manager,4,Divorced,114959.0,5,Yes,13.8,4,4,19,6,1,13,9,9,Pune,1902,175,11790,4,13
58,Yes,Non-Travel,Engineering,28,MBA,2,Female,3,1,Specialist,4,Married,58512.0,3,Yes,13.5,2,2,24,0,2,1,7,8,Mumbai,1935,166,17949,2,1
49,Yes,Travel_Frequently,Marketing,17,Diploma,3,Male,4,3,Lead,4,Divorced,188091.0,1,Yes,20.2,4,4,5,4,1,1,1,7,Jaipur,862,161,16839,1,1
42,No,Travel_Rarely,Operations,14,M.Sc,3,Female,2,2,Junior,2,Divorced,46659.0,7,Yes,16.7,4,1,0,4,2,0,6,9,Ahmedabad,1226,83,14822,2,0
38,Yes,Non-Travel,Marketing,22,PhD,1,Male,4,5,Specialist,1,Married,144101.0,0,No,18.5,2,1,14,4,2,1,7,8,Kolkata,1188,160,48091,4,1
34,Yes,Non-Travel,Engineering,16,PhD,1,Female,4,5,Manager,2,Separated,247571.0,2,No,19.0,3,2,0,0,1,0,2,10,Delhi,1338,113,48529,3,0
26,No,Non-Travel,Admin,20,Bachelor's,1,Female,3,5,Manager,3,Divorced,104394.0,7,No,14.1,1,4,2,6,2,2,5,1,Jaipur,1812,113,26341,1,2
38,Yes,Travel_Frequently,Admin,5,B.Tech,3,Male,1,3,Analyst,4,Single,126916.0,9,Yes,19.6,1,1,7,2,3,3,5,3,Mumbai,1294,103,48075,1,3
42,Yes,Travel_Frequently,HR,5,B.Tech,5,Female,3,3,Manager,4,Married,131863.0,7,Yes,13.8,3,3,4,1,2,0,0,5,Mumbai,1392,190,20064,4,0
54,Yes,Travel_Frequently,R&D,18,High School,4,Female,2,1,Analyst,4,Divorced,38046.0,10,No,17.0,1,2,21,6,3,0,2,8,Jaipur,580,109,20371,2,0
55,Yes,Travel_Frequently,Sales,3,High School,5,Male,3,3,Manager,5,Single,198754.0,4,Yes,18.7,3,3,10,3,2,6,2,9,Pune,1552,184,10852,2,6
43,No,Travel_Frequently,Finance,2,Bachelor's,4,Female,3,1,Executive,4,Divorced,95981.0,4,No,15.9,3,4,13,5,4,6,1,5,Pune,1117,74,39018,2,6
52,No,Travel_Frequently,Sales,28,Bachelor's,4,Male,1,2,Executive,2,Divorced,100111.0,4,No,14.5,3,3,16,4,4,5,9,7,Jaipur,939,84,35316,3,5
47,No,Travel_Rarely,Finance,17,Master's,3,Female,4,5,Executive,4,Separated,39551.0,2,No,20.8,1,2,24,2,4,6,10,9,Hyderabad,1863,119,28694,3,6
31,No,Non-Travel,Marketing,24,PhD,3,Male,3,4,Manager,2,Married,161513.0,4,No,24.7,4,4,12,1,4,8,10,8,Chennai,1855,120,47251,1,8
51,No,Non-Travel,Support,500,PhD,4,Male,2,1,Lead,4,Divorced,227046.0,8,No,10.1,3,3,11,0,3,50,8,0,Chandigarh,1059,58,28019,4,50
45,Yes,Travel_Frequently,Operations,19,M.Sc,2,Female,2,5,Junior,1,Single,88494.0,4,Yes,24.9,1,4,24,6,4,3,4,2,Jaipur,1586,134,31442,4,3
28,Yes,Travel_Rarely,Marketing,28,B.Tech,4,Male,2,3,Senior,2,Separated,239767.0,1,Yes,15.2,3,2,3,4,2,0,10,5,Chennai,1108,115,22747,3,0
48,Yes,Non-Travel,Marketing,8,B.Tech,5,Female,2,2,Lead,4,Married,119740.0,8,Yes,15.6,2,2,21,2,2,1,1,9,Chandigarh,913,155,22045,2,1
45,Yes,Non-Travel,HR,8,High School,2,Female,2,1,Senior,4,Divorced,192424.0,8,No,10.4,4,4,13,4,4,4,10,9,Delhi,1166,106,12414,2,4
46,Yes,Travel_Rarely,Operations,28,M.Sc,5,Female,3,1,Senior,3,Divorced,177502.0,3,No,11.9,2,2,11,5,4,11,6,4,Bangalore,1156,177,27300,1,11
36,Yes,Travel_Frequently,Sales,23,M.Sc,2,Female,2,3,Lead,1,Divorced,168538.0,7,Yes,18.3,4,3,25,1,3,5,5,5,Bangalore,1401,165,31948,2,5
55,Yes,Non-Travel,Sales,1,PhD,2,Male,2,1,Associate,0,Divorced,26511.0,0,Yes,11.4,2,2,8,0,3,8,1,9,Bangalore,1454,175,19650,3,8
30,No,Non-Travel,HR,17,High School,1,Male,1,5,Junior,1,Married,62998.0,0,No,13.4,4,4,10,4,1,7,9,7,Ahmedabad,1773,52,39924,1,7
39,No,Non-Travel,Marketing,1,PhD,1,Male,4,2,Senior,1,Divorced,158424.0,8,No,24.7,3,4,19,5,4,13,3,7,Delhi,548,98,32625,2,13
49,Yes,Travel_Rarely,R&D,19,B.Tech,5,Female,2,3,Lead,2,Divorced,0.0,2,No,10.5,2,2,25,0,1,6,0,1,Ahmedabad,1223,124,20053,3,6
49,No,Non-Travel,R&D,20,MBA,5,Female,4,5,Associate,4,Married,177168.0,8,No,22.6,2,1,10,4,2,10,5,2,Chennai,1734,62,34607,1,10
48,No,Travel_Frequently,R&D,13,B.Tech,5,Male,4,4,Lead,4,Divorced,64490.0,0,No,21.6,3,3,7,5,4,3,7,0,Bangalore,1206,142,16438,1,3
57,Yes,Travel_Rarely,R&D,26,PhD,2,Male,4,1,Specialist,2,Divorced,71579.0,10,Yes,20.0,4,4,21,1,4,0,7,6,Jaipur,676,158,19869,3,0
41,Yes,Travel_Frequently,IT,21,Bachelor's,5,Male,1,5,Associate,2,Divorced,136783.0,9,Yes,23.1,2,1,3,6,4,2,5,6,Chandigarh,1165,167,25098,4,2
47,Yes,Non-Travel,Sales,25,MBA,3,Female,2,3,Associate,3,Single,69174.0,5,Yes,22.7,4,4,9,2,3,9,10,10,Kolkata,608,76,14428,1,9
58,Yes,Travel_Rarely,HR,4,Master's,4,Male,2,2,Manager,4,Single,108872.0,5,No,18.0,2,3,4,6,4,0,10,10,Bangalore,897,74,48303,4,0
23,No,Non-Travel,R&D,28,PhD,2,Female,1,3,Manager,2,Single,131177.0,6,Yes,18.8,4,4,21,1,2,1,4,10,Hyderabad,874,132,13943,3,1
46,Yes,Non-Travel,Finance,22,MBA,2,Male,3,4,Senior,4,Separated,86369.0,5,No,19.6,4,4,5,4,2,5,4,3,Bangalore,1232,68,13365,1,5
49,No,Non-Travel,IT,27,Diploma,3,Male,1,2,Senior,3,Divorced,89747.0,1,Yes,23.7,4,2,0,6,3,0,6,4,Chennai,771,187,37017,2,0
32,No,Travel_Rarely,Finance,12,Bachelor's,3,Male,2,4,Executive,4,Single,201686.0,8,Yes,24.8,3,4,20,6,2,3,6,5,Mumbai,775,137,10762,2,3
58,No,Travel_Rarely,Admin,21,B.Tech,3,Male,3,2,Executive,1,Single,29330.0,10,No,24.5,1,1,19,6,3,10,8,2,Bangalore,1092,143,26242,3,10
58,Yes,Non-Travel,Marketing,9,High School,4,Male,1,1,Analyst,3,Divorced,142459.0,2,No,12.0,3,1,8,5,1,5,3,8,Pune,1971,140,31942,2,5
50,No,Non-Travel,R&D,28,M.Sc,2,Female,1,1,Junior,3,Married,34210.0,10,Yes,15.6,1,4,18,0,3,13,0,3,Chennai,1203,72,16823,1,13
49,Yes,Travel_Frequently,HR,26,B.Tech,3,Female,3,3,Associate,2,Divorced,26020.0,9,Yes,24.9,5,2,12,1,4,2,3,5,Bangalore,1998,118,30418,3,2
31,No,Non-Travel,Sales,21,Master's,5,Male,4,1,Executive,1,Divorced,187242.0,8,Yes,16.2,4,2,16,1,1,1,8,2,Pune,832,161,35967,2,1
25,Yes,Travel_Rarely,Support,24,MBA,5,Male,1,4,Executive,1,Married,165510.0,9,Yes,19.5,1,1,13,0,2,11,5,4,Pune,844,87,16875,1,11
23,No,Travel_Rarely,Operations,19,PhD,1,Female,3,2,Analyst,2,Married,363417.75,2,Yes,18.7,1,2,23,2,1,8,4,10,Chandigarh,747,124,41195,3,8
44,Yes,Travel_Rarely,Admin,4,PhD,1,Female,3,4,Senior,1,Married,53413.0,6,No,20.8,4,4,20,2,1,7,7,6,Mumbai,1362,67,39535,1,7
52,No,Travel_Frequently,Marketing,28,MBA,5,Male,1,5,Junior,1,Single,59352.0,7,Yes,11.8,1,2,4,5,2,0,10,3,Pune,640,150,44750,2,0
34,No,Travel_Rarely,IT,22,Bachelor's,2,Male,1,1,Lead,3,Single,185269.0,10,Yes,10.8,4,3,6,0,2,2,1,0,Chennai,635,121,19148,4,2
30,No,Travel_Frequently,Sales,5,High School,5,Male,3,5,Specialist,5,Married,80236.0,4,No,12.3,2,1,8,6,2,7,6,4,Delhi,1312,152,19914,1,7
52,No,Non-Travel,IT,10,Master's,2,Male,1,5,Specialist,4,Divorced,130207.0,9,No,20.8,4,2,4,3,4,0,4,9,Jaipur,1443,189,22890,1,0
32,Yes,Travel_Frequently,Marketing,18,M.Sc,3,Male,2,3,Manager,0,Separated,131832.0,4,Yes,20.9,4,3,24,2,4,9,8,6,Chandigarh,1428,88,16287,4,9
51,No,Non-Travel,IT,29,M.Sc,4,Female,3,1,Manager,3,Separated,170259.0,3,Yes,14.5,4,3,16,6,1,1,9,4,Jaipur,1762,116,39925,2,1
49,Yes,Travel_Rarely,Finance,4,M.Sc,1,Female,2,5,Analyst,3,Separated,-5000.0,8,No,21.3,2,3,17,3,4,2,10,6,Ahmedabad,1219,139,14361,2,2
36,Yes,Travel_Frequently,Support,23,Diploma,4,Male,4,1,Lead,3,Separated,139941.0,4,Yes,19.4,4,1,5,3,2,4,1,6,Delhi,1511,69,29124,2,4
57,Yes,Non-Travel,HR,9,Bachelor's,2,Male,4,3,Junior,2,Separated,229596.0,4,Yes,23.6,2,3,10,1,3,1,4,3,Chandigarh,1572,119,11249,1,1
51,No,Travel_Frequently,Marketing,11,Master's,3,Male,3,2,Executive,3,Single,146077.0,3,No,10.9,2,1,22,4,2,6,8,2,Ahmedabad,1012,82,36983,4,6
27,Yes,Travel_Rarely,Marketing,1,Bachelor's,1,Female,1,2,Specialist,4,Separated,67170.0,6,No,18.4,4,1,14,3,4,2,6,2,Kolkata,502,133,17035,1,2
38,Yes,Non-Travel,Engineering,12,PhD,4,Female,1,5,Associate,1,Divorced,215797.0,4,No,11.5,2,1,13,5,3,2,6,4,Pune,1568,50,12104,2,2
34,Yes,Travel_Frequently,R&D,28,PhD,5,Male,4,4,Senior,4,Single,217313.0,2,Yes,19.7,4,3,5,2,2,3,8,3,Hyderabad,1431,177,31173,4,3
36,Yes,Travel_Rarely,Marketing,14,Diploma,1,Male,4,5,Lead,1,Divorced,64990.0,4,No,13.5,4,1,18,5,1,8,10,2,Kolkata,1235,155,36377,2,8
56,Yes,Non-Travel,Sales,15,PhD,3,Male,3,4,Associate,1,Separated,48979.0,7,Yes,16.3,4,3,24,6,4,14,2,0,Mumbai,1539,68,10127,2,14
40,No,Travel_Frequently,Support,2,Bachelor's,4,Male,2,1,Specialist,3,Married,39638.0,5,No,20.8,2,4,12,1,1,3,1,0,Kolkata,883,73,24356,1,3
35,No,Travel_Rarely,HR,4,High School,5,Male,4,3,Junior,4,Divorced,210046.0,6,No,19.9,4,1,25,4,4,7,0,6,Kolkata,997,177,14670,1,7
33,No,Travel_Rarely,Finance,14,MBA,4,Male,1,4,Analyst,1,Separated,179969.0,6,Yes,19.4,2,3,3,5,3,4,0,8,Chennai,552,181,11698,1,4
57,Yes,Non-Travel,HR,7,High School,3,Female,4,2,Specialist,2,Separated,70117.0,3,No,23.0,3,1,8,3,3,6,8,9,Chennai,1296,197,35378,1,6
41,No,Travel_Frequently,Admin,19,High School,4,Male,3,4,Lead,1,Divorced,97116.0,4,Yes,14.1,1,4,24,2,3,11,0,3,Ahmedabad,1898,79,27528,4,11
54,No,Non-Travel,Marketing,23,M.Sc,1,Male,3,4,Specialist,1,Married,123315.0,0,No,24.7,4,4,9,2,1,2,10,4,Bangalore,988,134,46637,1,2
46,No,Non-Travel,Marketing,5,B.Tech,1,Male,3,4,Senior,2,Divorced,111986.0,3,Yes,20.7,1,3,5,2,3,4,8,4,Chandigarh,874,103,20881,4,4
24,No,Non-Travel,Engineering,1,Diploma,3,Female,1,5,Associate,3,Divorced,183779.0,10,Yes,14.1,2,4,24,4,3,12,2,8,Chennai,1612,194,31871,1,12
60,No,Travel_Frequently,Engineering,3,M.Sc,4,Female,2,3,Associate,1,Divorced,174547.0,6,No,12.8,4,3,5,2,2,0,5,0,Kolkata,1752,200,46336,4,0
30,Yes,Non-Travel,Sales,29,High School,5,Female,3,5,Manager,4,Single,224116.0,7,No,25.0,1,1,23,2,4,0,9,4,Mumbai,1345,191,49414,3,0
26,Yes,Travel_Rarely,IT,30,Diploma,1,Male,3,4,Junior,4,Divorced,192196.0,4,No,11.7,3,4,18,5,4,1,3,10,Chandigarh,1028,159,27496,4,1
57,Yes,Travel_Rarely,IT,22,MBA,2,Female,3,3,Associate,1,Married,104450.0,9,Yes,11.5,4,3,19,2,2,1,6,4,Delhi,1765,76,11501,4,1
40,Yes,Travel_Frequently,HR,21,MBA,2,Male,4,1,Lead,2,Divorced,50909.0,1,No,10.4,2,3,5,0,2,4,0,6,Kolkata,1121,116,13379,2,4
32,Yes,Non-Travel,Admin,21,High School,5,Female,2,2,Executive,3,Married,195958.0,3,Yes,24.0,1,2,3,4,3,2,8,0,Delhi,1466,200,40435,3,2
37,Yes,Travel_Frequently,Operations,7,B.Tech,1,Male,4,1,Lead,0,Separated,75914.0,1,Yes,12.6,3,3,14,1,4,4,4,5,Mumbai,1684,171,13836,3,4
